Year,Epiweek,Split,MAE_log,RMSE_log,R2_log,R2trim_log,MAE_real,RMSE_real,SMAPE_real,R2_real,R2trim_real
2021,202101,val,0.1583630749480404,0.37109442619409355,0.5615273751403463,0.6608990912925046,0.9437930209657256,10.224373574141277,1.8404544761898112,0.08930491018233244,0.4838157880235855
2021,202102,val,0.13404153526300666,0.26748740229907847,0.7918413896581961,0.8297532228762237,0.846740619322964,7.885829218206879,1.800187436126897,0.42697495937165464,0.7316324175759803
2021,202103,val,0.13933130581866573,0.2813933697708345,0.7994245027705971,0.8326673300855836,1.0191387147204127,10.242753966879425,1.7939648159013242,0.3192558781756606,0.7113345695450974
2021,202104,val,0.14367282669656486,0.28210395298359975,0.8109027605977887,0.8411982294415457,1.1079728960733803,10.544480768903764,1.7823404602816915,0.34091250964372977,0.8218463783709989
2021,202105,val,0.15175332570090985,0.3083234999400767,0.8057147350573446,0.8466423957610825,1.40545519727927,13.085597240403805,1.766688660795331,0.3103428299399964,0.7687523353233447
2021,202106,val,0.1520610007930796,0.305015453580284,0.8197587994977461,0.8496904050884118,1.625249350568016,16.479812849554065,1.7775744282035264,0.2860776580054575,0.733605402240596
2021,202107,val,0.16616927946453725,0.3232191644164937,0.8190661507445559,0.8489322707593983,1.932658769452769,20.080796252781305,1.7545260102439904,0.2549585925058331,0.6368842769465675
2021,202108,val,0.16815908303274088,0.3281888717970759,0.8186688874335921,0.8455525277206751,2.0075405018094803,21.169243086480503,1.7352740887753486,0.28053350691700085,0.7218618487059217
2021,202109,val,0.1752770802074418,0.3463653187333882,0.8249542837728567,0.8557439849426137,2.3301530403468695,26.458961864555114,1.7092734939545589,0.20889455494520992,0.6560206835390838
2021,202110,val,0.1813626946716708,0.35293157915192963,0.8192308842151454,0.8518122786074831,2.3680096425699895,27.201918585348427,1.7082739644128,0.22123808937078304,0.657625762052596
2021,202111,val,0.1890082363036577,0.36806172654198327,0.8195250509771257,0.8564917209040742,2.5996718788901134,29.81527531261221,1.6951502455426655,0.21481672352087455,0.6097442400174667
2021,202112,val,0.18434447307195875,0.35869373661187853,0.8233012928047196,0.8628608064972917,2.574713724517377,31.642787384807868,1.7026780532341383,0.2021893010855953,0.6259469625866882
2021,202113,val,0.1916169670124563,0.3671676243334864,0.8375268230499973,0.8695210570742204,3.2817881387142207,46.38350598076614,1.6925103577177016,0.16412727880714673,0.5947091111781104
2021,202114,val,0.20799485794358935,0.39493769392650135,0.8324514058342438,0.8657735784890854,3.742065555474297,44.89053101308136,1.6600453303412137,0.17915759747900506,0.5972671623435597
2021,202115,val,0.20743171921593093,0.3855326682560809,0.8347216515985374,0.8615575892163475,3.3994279005688615,37.45124156743984,1.6733143567304738,0.22592963707239122,0.5925671211158599
2021,202116,val,0.20366627304385584,0.3866028382934995,0.8398203206921016,0.8684200976268699,3.530757833949788,40.42687961824118,1.6647462247669194,0.23117308735389763,0.5986403358705332
2021,202117,val,0.20862983216984848,0.38922527548160923,0.8330508876847963,0.8644509623031305,3.3112542874130906,37.421965243654796,1.6566273175749988,0.21032108776291625,0.5922073599703135
2021,202118,val,0.20387005507624636,0.37266575587002265,0.8391926704124963,0.8659273969002091,2.8864167908127576,31.979024375348356,1.6651034347312537,0.3022039535804002,0.6519346269402666
2021,202119,val,0.20165403268422522,0.3658644601834692,0.8404061854316984,0.864874765197893,2.669627487530904,29.202600677824464,1.6532379396269745,0.3036630632619177,0.6715438078936959
2021,202120,val,0.19788767653701547,0.3462759768222535,0.8408935379816378,0.8660403408304083,2.2233768238771057,23.790286926624336,1.6592349175989427,0.3601799204316617,0.6893159129665056
2021,202121,val,0.18619296605491878,0.33781526877457874,0.831329535504246,0.8626116342950111,2.0178047609920555,23.127083899491456,1.6852730234031044,0.3238849733331507,0.6797372986516723
2021,202122,val,0.17974436621360432,0.32775908196989656,0.8352018407169198,0.8607267466503311,1.9100780957555874,20.719556832167314,1.6854229992991654,0.3670931595703044,0.7169559446158056
2021,202123,val,0.1724309590648482,0.32126584591748186,0.8345144398222,0.8677981506514618,1.7136239215763758,18.732931539709565,1.69661300019577,0.40736657162689627,0.7220893095357679
2021,202124,val,0.16125984876373103,0.2963200971761135,0.8406748881770799,0.8690275956306113,1.4125904608638402,14.797916949074873,1.7129203984594907,0.44008621848272855,0.7465757253096903
2021,202125,val,0.14962507244186124,0.28094387280862604,0.834552180752488,0.867606475479453,1.2164613177971733,13.054843892376864,1.7481263882688711,0.4457699108698242,0.8136899953677195
2021,202126,val,0.15138232846972668,0.27639555949569955,0.8257116981710466,0.8583503068459362,1.1458594793256969,12.016714175884688,1.7526424756904204,0.4433035360753361,0.7622368914528059
2021,202127,val,0.1490479728553811,0.26885033092282384,0.8232522815026486,0.8608454969208429,1.050001016672698,11.505248852956168,1.765625929757523,0.36522705034497627,0.8658308395954954
2021,202128,val,0.14158118660022764,0.264239564493499,0.8147053800789018,0.8509226340822093,0.958776150394223,8.204480678613598,1.7845968908025613,0.6360068872909257,0.8304884758952933
2021,202129,val,0.141113987550043,0.256217697393291,0.8067735060541088,0.8410882624698435,0.8765362613840466,8.476430630448215,1.8030639309549819,0.45201883635140905,0.7666153608496195
2021,202130,val,0.13471264854919815,0.2469127791783951,0.7975678753454962,0.8379869424291293,0.7327113821084854,5.6697356222807285,1.8122932774732936,0.6307256769216498,0.8459300192874386
2021,202131,val,0.1347231912466153,0.2538907206106016,0.7790357297413928,0.8256234359285529,0.7732143353464619,7.70874102022834,1.820149521292605,0.40784933119695765,0.7572966848834914
